probe_index	x	y	contact_shapes	radius	contact_ids	device_channel_indices	si_units	plane_axis_x_0	plane_axis_x_1	plane_axis_y_0	plane_axis_y_1
0	1595.0	300.0	circle	20.0	A-000	0	um	1.0	0.0	0.0	1.0
0	1595.0	-200.0	circle	20.0	A-001	1	um	1.0	0.0	0.0	1.0
0	1345.0	50.0	circle	20.0	A-002	2	um	1.0	0.0	0.0	1.0
0	1095.0	-200.0	circle	20.0	A-003	3	um	1.0	0.0	0.0	1.0
0	600.0	200.0	circle	20.0	A-005	4	um	1.0	0.0	0.0	1.0
0	400.0	400.0	circle	20.0	A-006	5	um	1.0	0.0	0.0	1.0
0	200.0	200.0	circle	20.0	A-007	6	um	1.0	0.0	0.0	1.0
0	200.0	0.0	circle	20.0	A-024	7	um	1.0	0.0	0.0	1.0
0	600.0	0.0	circle	20.0	A-025	8	um	1.0	0.0	0.0	1.0
0	400.0	600.0	circle	20.0	A-026	9	um	1.0	0.0	0.0	1.0
0	1095.0	300.0	circle	20.0	A-027	10	um	1.0	0.0	0.0	1.0
0	1095.0	50.0	circle	20.0	A-028	11	um	1.0	0.0	0.0	1.0
0	1345.0	-200.0	circle	20.0	A-029	12	um	1.0	0.0	0.0	1.0
0	1345.0	300.0	circle	20.0	A-030	13	um	1.0	0.0	0.0	1.0
0	1595.0	50.0	circle	20.0	A-031	14	um	1.0	0.0	0.0	1.0
0	1845.0	800.0	circle	20.0	B-000	15	um	1.0	0.0	0.0	1.0
0	2345.0	550.0	circle	20.0	B-001	16	um	1.0	0.0	0.0	1.0
0	1845.0	550.0	circle	20.0	B-002	17	um	1.0	0.0	0.0	1.0
0	2345.0	-200.0	circle	20.0	B-003	18	um	1.0	0.0	0.0	1.0
0	2345.0	50.0	circle	20.0	B-004	19	um	1.0	0.0	0.0	1.0
0	2095.0	-200.0	circle	20.0	B-005	20	um	1.0	0.0	0.0	1.0
0	2095.0	300.0	circle	20.0	B-006	21	um	1.0	0.0	0.0	1.0
0	1845.0	50.0	circle	20.0	B-007	22	um	1.0	0.0	0.0	1.0
0	1845.0	300.0	circle	20.0	B-024	23	um	1.0	0.0	0.0	1.0
0	1845.0	-200.0	circle	20.0	B-025	24	um	1.0	0.0	0.0	1.0
0	2095.0	50.0	circle	20.0	B-026	25	um	1.0	0.0	0.0	1.0
0	2345.0	300.0	circle	20.0	B-027	26	um	1.0	0.0	0.0	1.0
0	1595.0	550.0	circle	20.0	B-029	27	um	1.0	0.0	0.0	1.0
0	2095.0	550.0	circle	20.0	B-030	28	um	1.0	0.0	0.0	1.0
0	1595.0	800.0	circle	20.0	B-031	29	um	1.0	0.0	0.0	1.0
0	1625.0	1700.0	circle	20.0	C-008	30	um	1.0	0.0	0.0	1.0
0	1825.0	1700.0	circle	20.0	C-009	31	um	1.0	0.0	0.0	1.0
0	1425.0	1500.0	circle	20.0	C-010	32	um	1.0	0.0	0.0	1.0
0	1825.0	1500.0	circle	20.0	C-011	33	um	1.0	0.0	0.0	1.0
0	2025.0	1500.0	circle	20.0	C-012	34	um	1.0	0.0	0.0	1.0
0	1825.0	1300.0	circle	20.0	C-013	35	um	1.0	0.0	0.0	1.0
0	1425.0	1300.0	circle	20.0	C-014	36	um	1.0	0.0	0.0	1.0
0	2095.0	800.0	circle	20.0	C-015	37	um	1.0	0.0	0.0	1.0
0	2345.0	800.0	circle	20.0	C-016	38	um	1.0	0.0	0.0	1.0
0	1625.0	1300.0	circle	20.0	C-017	39	um	1.0	0.0	0.0	1.0
0	2025.0	1300.0	circle	20.0	C-018	40	um	1.0	0.0	0.0	1.0
0	1625.0	1500.0	circle	20.0	C-020	41	um	1.0	0.0	0.0	1.0
0	2025.0	1700.0	circle	20.0	C-021	42	um	1.0	0.0	0.0	1.0
0	1825.0	1900.0	circle	20.0	C-022	43	um	1.0	0.0	0.0	1.0
0	1625.0	1900.0	circle	20.0	C-023	44	um	1.0	0.0	0.0	1.0
0	200.0	400.0	circle	20.0	D-008	45	um	1.0	0.0	0.0	1.0
0	200.0	600.0	circle	20.0	D-009	46	um	1.0	0.0	0.0	1.0
0	400.0	200.0	circle	20.0	D-010	47	um	1.0	0.0	0.0	1.0
0	600.0	600.0	circle	20.0	D-012	48	um	1.0	0.0	0.0	1.0
0	1095.0	800.0	circle	20.0	D-013	49	um	1.0	0.0	0.0	1.0
0	1345.0	800.0	circle	20.0	D-014	50	um	1.0	0.0	0.0	1.0
0	1425.0	1900.0	circle	20.0	D-015	51	um	1.0	0.0	0.0	1.0
0	1425.0	1700.0	circle	20.0	D-016	52	um	1.0	0.0	0.0	1.0
0	1345.0	550.0	circle	20.0	D-017	53	um	1.0	0.0	0.0	1.0
0	1095.0	550.0	circle	20.0	D-018	54	um	1.0	0.0	0.0	1.0
0	600.0	400.0	circle	20.0	D-019	55	um	1.0	0.0	0.0	1.0
0	400.0	0.0	circle	20.0	D-020	56	um	1.0	0.0	0.0	1.0
0	0.0	400.0	circle	20.0	D-022	57	um	1.0	0.0	0.0	1.0
0	0.0	200.0	circle	20.0	D-023	58	um	1.0	0.0	0.0	1.0
0	21.047619047619047	-353.6	circle	12.0	B-028	59	um	1.0	0.0	0.0	1.0
0	147.33333333333334	-374.64761904761906	circle	12.0	D-021	60	um	1.0	0.0	0.0	1.0
